BOROUGH,NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE,YEAR
MANHATTAN,HARLEM-EAST,03 THREE FAMILY HOMES,1,1340000,1340000,1340000,1340000,2010
MANHATTAN,HARLEM-UPPER,01 ONE FAMILY HOMES,3,450000,1216667,1200000,2000000,2010
MANHATTAN,HARLEM-UPPER,02 TWO FAMILY HOMES,8,425000,906625,866078,1450000,2010
MANHATTAN,HARLEM-UPPER,03 THREE FAMILY HOMES,3,526050,847229,895637,1120000,2010
MANHATTAN,HARLEM-WEST,02 TWO FAMILY HOMES,1,450000,450000,450000,450000,2010
MANHATTAN,INWOOD,01 ONE FAMILY HOMES,1,600000,600000,600000,600000,2010
MANHATTAN,INWOOD,02 TWO FAMILY HOMES,2,235248,335888,335888,436527,2010
MANHATTAN,KIPS BAY,02 TWO FAMILY HOMES,2,900000,2075000,2075000,3250000,2010
MANHATTAN,LITTLE ITALY,01 ONE FAMILY HOMES,1,11999900,11999900,11999900,11999900,2010
MANHATTAN,MIDTOWN EAST,01 ONE FAMILY HOMES,2,3000000,3237500,3237500,3475000,2010
MANHATTAN,MIDTOWN EAST,02 TWO FAMILY HOMES,1,5250000,5250000,5250000,5250000,2010
MANHATTAN,MURRAY HILL,01 ONE FAMILY HOMES,5,3130000,3696000,3850000,4200000,2010
MANHATTAN,MURRAY HILL,03 THREE FAMILY HOMES,3,1634291,2393097,2550000,2995000,2010
MANHATTAN,SOHO,01 ONE FAMILY HOMES,1,4000000,4000000,4000000,4000000,2010
MANHATTAN,SOHO,02 TWO FAMILY HOMES,1,4250000,4250000,4250000,4250000,2010
MANHATTAN,SOUTHBRIDGE,01 ONE FAMILY HOMES,1,1550000,1550000,1550000,1550000,2010
MANHATTAN,TRIBECA,01 ONE FAMILY HOMES,1,24065000,24065000,24065000,24065000,2010
MANHATTAN,UPPER EAST SIDE (59-79),01 ONE FAMILY HOMES,22,1715000,8728302,7625000,20000000,2010
MANHATTAN,UPPER EAST SIDE (59-79),02 TWO FAMILY HOMES,10,300000,9776000,10300000,19660000,2010
MANHATTAN,UPPER EAST SIDE (79-96),01 ONE FAMILY HOMES,12,2850000,8367085,9545000,18500000,2010
MANHATTAN,UPPER EAST SIDE (79-96),02 TWO FAMILY HOMES,7,3200000,11780714,4140000,44000000,2010
MANHATTAN,UPPER EAST SIDE (79-96),03 THREE FAMILY HOMES,1,3633333,3633333,3633333,3633333,2010
MANHATTAN,UPPER WEST SIDE (59-79),01 ONE FAMILY HOMES,5,6200000,11918062,7650000,19390312,2010
MANHATTAN,UPPER WEST SIDE (59-79),02 TWO FAMILY HOMES,4,3855000,5815394,5303288,8800000,2010
MANHATTAN,UPPER WEST SIDE (59-79),03 THREE FAMILY HOMES,1,6000000,6000000,6000000,6000000,2010
MANHATTAN,UPPER WEST SIDE (79-96),01 ONE FAMILY HOMES,4,3000000,4456250,4537500,5750000,2010
MANHATTAN,UPPER WEST SIDE (79-96),02 TWO FAMILY HOMES,5,3200000,4799000,4500000,8000000,2010
MANHATTAN,UPPER WEST SIDE (79-96),03 THREE FAMILY HOMES,3,3775000,5315033,5182600,6987500,2010
MANHATTAN,UPPER WEST SIDE (96-116),01 ONE FAMILY HOMES,2,4750000,5450000,5450000,6150000,2010
MANHATTAN,UPPER WEST SIDE (96-116),03 THREE FAMILY HOMES,1,3700000,3700000,3700000,3700000,2010
MANHATTAN,WASHINGTON HEIGHTS LOWER,01 ONE FAMILY HOMES,7,150000,432528,350000,1100000,2010
MANHATTAN,WASHINGTON HEIGHTS LOWER,02 TWO FAMILY HOMES,2,390000,967643,967643,1545286,2010
BRONX,BATHGATE,01 ONE FAMILY HOMES,5,150000,264306,287000,313300,2010
BRONX,BATHGATE,02 TWO FAMILY HOMES,7,155000,378805,320000,869000,2010
BRONX,BATHGATE,03 THREE FAMILY HOMES,5,152100,265223,179000,565015,2010
BRONX,BAYCHESTER,01 ONE FAMILY HOMES,71,150000,293498,303500,450000,2010
BRONX,BAYCHESTER,02 TWO FAMILY HOMES,60,150000,398600,415000,631315,2010
BRONX,BAYCHESTER,03 THREE FAMILY HOMES,18,161500,460400,475000,950000,2010
BRONX,BEDFORD PARK/NORWOOD,01 ONE FAMILY HOMES,8,172907,326079,332500,452489,2010
BRONX,BEDFORD PARK/NORWOOD,02 TWO FAMILY HOMES,19,229164,398958,400000,587507,2010
BRONX,BEDFORD PARK/NORWOOD,03 THREE FAMILY HOMES,9,295000,444333,418000,594000,2010
BRONX,BELMONT,01 ONE FAMILY HOMES,1,220000,220000,220000,220000,2010
BRONX,BELMONT,02 TWO FAMILY HOMES,13,190000,319526,326000,460000,2010
BRONX,BELMONT,03 THREE FAMILY HOMES,8,165728,364801,373000,586500,2010
BRONX,BRONX PARK,02 TWO FAMILY HOMES,1,325000,325000,325000,325000,2010
BRONX,BRONXDALE,01 ONE FAMILY HOMES,27,150000,309399,318000,475000,2010
BRONX,BRONXDALE,02 TWO FAMILY HOMES,42,230000,417560,399450,620000,2010
BRONX,BRONXDALE,03 THREE FAMILY HOMES,8,295000,512189,517800,700000,2010
BRONX,CASTLE HILL/UNIONPORT,01 ONE FAMILY HOMES,17,215000,334637,345000,419321,2010
BRONX,CASTLE HILL/UNIONPORT,02 TWO FAMILY HOMES,32,200000,397238,411000,568634,2010
BRONX,CASTLE HILL/UNIONPORT,03 THREE FAMILY HOMES,6,200000,402465,432396,525000,2010
BRONX,CITY ISLAND,01 ONE FAMILY HOMES,18,253000,494748,460750,910000,2010
BRONX,CITY ISLAND,02 TWO FAMILY HOMES,10,200000,426050,416250,615000,2010
BRONX,CITY ISLAND,03 THREE FAMILY HOMES,2,330000,460000,460000,590000,2010
BRONX,COUNTRY CLUB,01 ONE FAMILY HOMES,35,185000,435412,442900,940000,2010
BRONX,COUNTRY CLUB,02 TWO FAMILY HOMES,21,150000,476917,495000,875000,2010
BRONX,COUNTRY CLUB,03 THREE FAMILY HOMES,2,585680,600340,600340,615000,2010
BRONX,CROTONA PARK,02 TWO FAMILY HOMES,5,202800,322000,304200,430000,2010
BRONX,CROTONA PARK,03 THREE FAMILY HOMES,4,150000,407125,490250,498000,2010
BRONX,EAST TREMONT,01 ONE FAMILY HOMES,5,151000,289920,315000,350000,2010
BRONX,EAST TREMONT,02 TWO FAMILY HOMES,27,176000,378001,390000,617416,2010
BRONX,EAST TREMONT,03 THREE FAMILY HOMES,12,210000,401985,463712,583000,2010
BRONX,FIELDSTON,01 ONE FAMILY HOMES,14,200000,1239714,1154500,4150000,2010
BRONX,FORDHAM,01 ONE FAMILY HOMES,3,312700,346900,323000,405000,2010
BRONX,FORDHAM,02 TWO FAMILY HOMES,5,220500,385849,400000,508746,2010
BRONX,FORDHAM,03 THREE FAMILY HOMES,7,175000,318430,251245,510000,2010
BRONX,HIGHBRIDGE/MORRIS HEIGHTS,01 ONE FAMILY HOMES,2,310000,411638,411638,513276,2010
BRONX,HIGHBRIDGE/MORRIS HEIGHTS,02 TWO FAMILY HOMES,22,195000,385359,391000,644948,2010
BRONX,HIGHBRIDGE/MORRIS HEIGHTS,03 THREE FAMILY HOMES,9,230500,471328,450500,723599,2010
BRONX,HUNTS POINT,02 TWO FAMILY HOMES,7,261540,373108,320000,575000,2010
BRONX,HUNTS POINT,03 THREE FAMILY HOMES,5,300000,401800,420000,480000,2010
BRONX,KINGSBRIDGE HTS/UNIV HTS,01 ONE FAMILY HOMES,4,150000,304150,325800,415000,2010
BRONX,KINGSBRIDGE HTS/UNIV HTS,02 TWO FAMILY HOMES,13,167000,433768,370000,1200000,2010
BRONX,KINGSBRIDGE HTS/UNIV HTS,03 THREE FAMILY HOMES,2,599000,629500,629500,660000,2010
BRONX,KINGSBRIDGE/JEROME PARK,01 ONE FAMILY HOMES,12,300000,417806,430000,540000,2010
BRONX,KINGSBRIDGE/JEROME PARK,02 TWO FAMILY HOMES,9,405000,511714,515000,595000,2010
BRONX,KINGSBRIDGE/JEROME PARK,03 THREE FAMILY HOMES,3,170000,439797,520000,629391,2010
BRONX,MELROSE/CONCOURSE,01 ONE FAMILY HOMES,1,350000,350000,350000,350000,2010
BRONX,MELROSE/CONCOURSE,02 TWO FAMILY HOMES,14,210000,388256,432500,480000,2010
BRONX,MELROSE/CONCOURSE,03 THREE FAMILY HOMES,18,170000,443782,450500,950000,2010
BRONX,MORRIS PARK/VAN NEST,01 ONE FAMILY HOMES,32,165000,398120,389250,630000,2010
BRONX,MORRIS PARK/VAN NEST,02 TWO FAMILY HOMES,41,225000,394260,400000,555000,2010
BRONX,MORRIS PARK/VAN NEST,03 THREE FAMILY HOMES,9,246100,474456,525000,570000,2010
BRONX,MORRISANIA/LONGWOOD,01 ONE FAMILY HOMES,12,185000,286154,302500,345000,2010
BRONX,MORRISANIA/LONGWOOD,02 TWO FAMILY HOMES,32,150000,338612,360000,516221,2010
BRONX,MORRISANIA/LONGWOOD,03 THREE FAMILY HOMES,36,150000,399398,390897,999990,2010
BRONX,MOTT HAVEN/PORT MORRIS,01 ONE FAMILY HOMES,8,150000,245331,213825,410000,2010
BRONX,MOTT HAVEN/PORT MORRIS,02 TWO FAMILY HOMES,8,180000,318313,332500,415000,2010
BRONX,MOTT HAVEN/PORT MORRIS,03 THREE FAMILY HOMES,3,155000,326258,373775,450000,2010
BRONX,MOUNT HOPE/MOUNT EDEN,01 ONE FAMILY HOMES,1,240000,240000,240000,240000,2010
BRONX,MOUNT HOPE/MOUNT EDEN,02 TWO FAMILY HOMES,2,300000,335700,335700,371400,2010
BRONX,MOUNT HOPE/MOUNT EDEN,03 THREE FAMILY HOMES,3,370584,514492,459224,713667,2010
BRONX,PARKCHESTER,01 ONE FAMILY HOMES,5,160000,324160,333000,450000,2010
BRONX,PARKCHESTER,02 TWO FAMILY HOMES,23,160000,402271,425000,610448,2010
BRONX,PARKCHESTER,03 THREE FAMILY HOMES,10,270000,484987,495000,570000,2010
BRONX,PELHAM GARDENS,01 ONE FAMILY HOMES,15,257556,438957,420000,660000,2010
BRONX,PELHAM GARDENS,02 TWO FAMILY HOMES,6,390000,510333,460500,685000,2010
BRONX,PELHAM GARDENS,03 THREE FAMILY HOMES,1,450000,450000,450000,450000,2010
BRONX,PELHAM PARKWAY NORTH,01 ONE FAMILY HOMES,24,178745,386218,402500,661000,2010
BRONX,PELHAM PARKWAY NORTH,02 TWO FAMILY HOMES,23,230000,459736,455000,640000,2010
BRONX,PELHAM PARKWAY NORTH,03 THREE FAMILY HOMES,4,220000,400813,441625,500000,2010
BRONX,PELHAM PARKWAY SOUTH,01 ONE FAMILY HOMES,12,325000,446333,385500,730000,2010
BRONX,PELHAM PARKWAY SOUTH,02 TWO FAMILY HOMES,7,235248,415890,355000,695000,2010
BRONX,PELHAM PARKWAY SOUTH,03 THREE FAMILY HOMES,2,240000,440000,440000,640000,2010
BRONX,RIVERDALE,01 ONE FAMILY HOMES,36,155000,876418,645000,3040000,2010
BRONX,RIVERDALE,02 TWO FAMILY HOMES,7,599000,634143,635000,690000,2010
BRONX,RIVERDALE,03 THREE FAMILY HOMES,5,350000,701000,710000,975000,2010
BRONX,SCHUYLERVILLE/PELHAM BAY,01 ONE FAMILY HOMES,33,180000,383077,370000,730000,2010
BRONX,SCHUYLERVILLE/PELHAM BAY,02 TWO FAMILY HOMES,43,202000,457633,439000,692410,2010
BRONX,SCHUYLERVILLE/PELHAM BAY,03 THREE FAMILY HOMES,7,370000,531888,550000,669500,2010
BRONX,SOUNDVIEW,01 ONE FAMILY HOMES,15,151086,270317,280000,430000,2010
BRONX,SOUNDVIEW,02 TWO FAMILY HOMES,45,177000,391816,410000,623823,2010
BRONX,SOUNDVIEW,03 THREE FAMILY HOMES,32,250000,433954,445600,630000,2010
BRONX,THROGS NECK,01 ONE FAMILY HOMES,50,150000,375518,375000,890000,2010
BRONX,THROGS NECK,02 TWO FAMILY HOMES,55,170000,433088,431750,705000,2010
BRONX,THROGS NECK,03 THREE FAMILY HOMES,12,250000,498413,545000,655000,2010
BRONX,WAKEFIELD,01 ONE FAMILY HOMES,41,158000,316531,335000,505056,2010
BRONX,WAKEFIELD,02 TWO FAMILY HOMES,40,165000,369935,361975,576600,2010
BRONX,WAKEFIELD,03 THREE FAMILY HOMES,7,200000,373190,380000,509000,2010
BRONX,WESTCHESTER,01 ONE FAMILY HOMES,13,170000,309235,300000,530000,2010
BRONX,WESTCHESTER,02 TWO FAMILY HOMES,27,150000,365574,380000,534800,2010
BRONX,WESTCHESTER,03 THREE FAMILY HOMES,10,315000,552603,530750,713889,2010
BRONX,WILLIAMSBRIDGE,01 ONE FAMILY HOMES,39,155000,315818,334250,651235,2010
BRONX,WILLIAMSBRIDGE,02 TWO FAMILY HOMES,85,160000,368507,375000,555000,2010
BRONX,WILLIAMSBRIDGE,03 THREE FAMILY HOMES,27,237000,495440,484000,678006,2010
BRONX,WOODLAWN,01 ONE FAMILY HOMES,6,200000,354567,374500,460000,2010
BRONX,WOODLAWN,02 TWO FAMILY HOMES,11,250000,463827,477500,630000,2010
BRONX,WOODLAWN,03 THREE FAMILY HOMES,3,300000,471167,550000,563500,2010
BROOKLYN,BATH BEACH,01 ONE FAMILY HOMES,17,395000,544790,530000,705000,2010
BROOKLYN,BATH BEACH,02 TWO FAMILY HOMES,58,200000,654117,654000,1250000,2010
BROOKLYN,BATH BEACH,03 THREE FAMILY HOMES,17,175000,794660,790000,1282995,2010
BROOKLYN,BAY RIDGE,01 ONE FAMILY HOMES,106,190000,780849,670000,4650000,2010
BROOKLYN,BAY RIDGE,02 TWO FAMILY HOMES,113,150000,769807,765000,2100000,2010
BROOKLYN,BAY RIDGE,03 THREE FAMILY HOMES,17,180000,670851,747500,855000,2010
BROOKLYN,BEDFORD STUYVESANT,01 ONE FAMILY HOMES,23,159500,314389,327000,495000,2010
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY HOMES,254,150000,405030,369500,1240000,2010
BROOKLYN,BEDFORD STUYVESANT,03 THREE FAMILY HOMES,126,150000,492702,487500,1275000,2010
BROOKLYN,BENSONHURST,01 ONE FAMILY HOMES,47,310000,626840,590000,1525000,2010
BROOKLYN,BENSONHURST,02 TWO FAMILY HOMES,117,175000,668510,680000,1145000,2010
BROOKLYN,BENSONHURST,03 THREE FAMILY HOMES,39,245000,755910,799000,1150000,2010
BROOKLYN,BERGEN BEACH,01 ONE FAMILY HOMES,34,197774,570106,545000,1285000,2010
BROOKLYN,BERGEN BEACH,02 TWO FAMILY HOMES,30,275000,666875,697500,840000,2010
BROOKLYN,BERGEN BEACH,03 THREE FAMILY HOMES,6,310000,591583,659250,700000,2010
BROOKLYN,BOERUM HILL,01 ONE FAMILY HOMES,8,475000,1263918,1087500,2390000,2010
BROOKLYN,BOERUM HILL,02 TWO FAMILY HOMES,13,800000,1241229,1312500,2200000,2010
BROOKLYN,BOERUM HILL,03 THREE FAMILY HOMES,3,1100000,1491667,1625000,1750000,2010
BROOKLYN,BOROUGH PARK,01 ONE FAMILY HOMES,50,233333,582215,557500,1850000,2010
BROOKLYN,BOROUGH PARK,02 TWO FAMILY HOMES,162,160000,677339,672500,2450000,2010
BROOKLYN,BOROUGH PARK,03 THREE FAMILY HOMES,57,175000,809075,818000,1800000,2010
BROOKLYN,BRIGHTON BEACH,01 ONE FAMILY HOMES,3,230400,420967,397500,635000,2010
BROOKLYN,BRIGHTON BEACH,02 TWO FAMILY HOMES,15,166666,506881,465000,1150000,2010
BROOKLYN,BRIGHTON BEACH,03 THREE FAMILY HOMES,5,375000,624799,500000,1100000,2010
BROOKLYN,BROOKLYN HEIGHTS,01 ONE FAMILY HOMES,17,1500000,3189913,2750000,6200000,2010
BROOKLYN,BROOKLYN HEIGHTS,02 TWO FAMILY HOMES,6,2080000,3766838,3977000,5242027,2010
BROOKLYN,BROOKLYN HEIGHTS,03 THREE FAMILY HOMES,1,3100000,3100000,3100000,3100000,2010
BROOKLYN,BROWNSVILLE,01 ONE FAMILY HOMES,18,245000,282621,283000,333500,2010
BROOKLYN,BROWNSVILLE,02 TWO FAMILY HOMES,25,155000,394288,400000,883200,2010
BROOKLYN,BROWNSVILLE,03 THREE FAMILY HOMES,6,197735,344206,325000,542500,2010
BROOKLYN,BUSH TERMINAL,02 TWO FAMILY HOMES,4,410000,480000,452500,605000,2010
BROOKLYN,BUSHWICK,01 ONE FAMILY HOMES,9,166000,265778,240000,495000,2010
BROOKLYN,BUSHWICK,02 TWO FAMILY HOMES,97,175000,388300,385000,730002,2010
BROOKLYN,BUSHWICK,03 THREE FAMILY HOMES,91,155000,428597,430000,843833,2010
BROOKLYN,CANARSIE,01 ONE FAMILY HOMES,55,150000,349889,370000,583328,2010
BROOKLYN,CANARSIE,02 TWO FAMILY HOMES,161,160457,430365,450500,628000,2010
BROOKLYN,CANARSIE,03 THREE FAMILY HOMES,21,360000,506554,570000,620000,2010
BROOKLYN,CARROLL GARDENS,01 ONE FAMILY HOMES,1,1550000,1550000,1550000,1550000,2010
BROOKLYN,CARROLL GARDENS,02 TWO FAMILY HOMES,11,488000,1346727,1040000,3235000,2010
BROOKLYN,CARROLL GARDENS,03 THREE FAMILY HOMES,18,484000,1204333,1160000,2200000,2010
BROOKLYN,CLINTON HILL,01 ONE FAMILY HOMES,3,824782,996834,980000,1185721,2010
BROOKLYN,CLINTON HILL,02 TWO FAMILY HOMES,13,300000,902372,860000,1330000,2010
BROOKLYN,CLINTON HILL,03 THREE FAMILY HOMES,7,380042,748420,700000,1225000,2010
BROOKLYN,COBBLE HILL,01 ONE FAMILY HOMES,5,999000,2369800,2900000,3200000,2010
BROOKLYN,COBBLE HILL,02 TWO FAMILY HOMES,9,1300000,2447789,2700000,3920000,2010
BROOKLYN,COBBLE HILL,03 THREE FAMILY HOMES,6,1442000,2214500,1910000,3800000,2010
BROOKLYN,COBBLE HILL-WEST,01 ONE FAMILY HOMES,2,1125000,1157500,1157500,1190000,2010
BROOKLYN,COBBLE HILL-WEST,02 TWO FAMILY HOMES,1,1600000,1600000,1600000,1600000,2010
BROOKLYN,COBBLE HILL-WEST,03 THREE FAMILY HOMES,2,950500,1015250,1015250,1080000,2010
BROOKLYN,CONEY ISLAND,01 ONE FAMILY HOMES,10,156500,329750,351500,395000,2010
BROOKLYN,CONEY ISLAND,03 THREE FAMILY HOMES,2,200000,269000,269000,338000,2010
BROOKLYN,CROWN HEIGHTS,01 ONE FAMILY HOMES,30,150000,481968,485230,820000,2010
BROOKLYN,CROWN HEIGHTS,02 TWO FAMILY HOMES,85,159500,463816,450000,1030000,2010
BROOKLYN,CROWN HEIGHTS,03 THREE FAMILY HOMES,28,175000,646222,455000,5666375,2010
BROOKLYN,CYPRESS HILLS,01 ONE FAMILY HOMES,18,152000,267060,261239,380000,2010
BROOKLYN,CYPRESS HILLS,02 TWO FAMILY HOMES,87,151000,382229,380000,850000,2010
BROOKLYN,CYPRESS HILLS,03 THREE FAMILY HOMES,16,257500,427781,415000,600000,2010
BROOKLYN,DOWNTOWN-FULTON FERRY,02 TWO FAMILY HOMES,1,995000,995000,995000,995000,2010
BROOKLYN,DOWNTOWN-FULTON MALL,02 TWO FAMILY HOMES,1,15344118,15344118,15344118,15344118,2010
BROOKLYN,DOWNTOWN-METROTECH,03 THREE FAMILY HOMES,1,705000,705000,705000,705000,2010
BROOKLYN,DYKER HEIGHTS,01 ONE FAMILY HOMES,55,275000,617194,615000,1685000,2010
BROOKLYN,DYKER HEIGHTS,02 TWO FAMILY HOMES,61,150000,694816,700000,999000,2010
BROOKLYN,DYKER HEIGHTS,03 THREE FAMILY HOMES,11,270000,777955,820000,1035000,2010
BROOKLYN,EAST NEW YORK,01 ONE FAMILY HOMES,59,150000,281915,295000,494702,2010
BROOKLYN,EAST NEW YORK,02 TWO FAMILY HOMES,211,150000,369169,368600,1469655,2010
BROOKLYN,EAST NEW YORK,03 THREE FAMILY HOMES,71,150000,421520,361440,2360375,2010
BROOKLYN,FLATBUSH-CENTRAL,01 ONE FAMILY HOMES,54,265500,817967,833750,1395000,2010
BROOKLYN,FLATBUSH-CENTRAL,02 TWO FAMILY HOMES,47,225000,541523,475000,1100000,2010
BROOKLYN,FLATBUSH-CENTRAL,03 THREE FAMILY HOMES,10,350000,511749,542500,675310,2010
BROOKLYN,FLATBUSH-EAST,01 ONE FAMILY HOMES,99,150000,383647,365000,1500000,2010
BROOKLYN,FLATBUSH-EAST,02 TWO FAMILY HOMES,102,166626,422058,399150,900000,2010
BROOKLYN,FLATBUSH-EAST,03 THREE FAMILY HOMES,25,240000,463984,462800,795241,2010
BROOKLYN,FLATBUSH-LEFFERTS GARDEN,01 ONE FAMILY HOMES,20,220000,724763,727375,1325000,2010
BROOKLYN,FLATBUSH-LEFFERTS GARDEN,02 TWO FAMILY HOMES,15,180000,416090,325000,899000,2010
BROOKLYN,FLATBUSH-LEFFERTS GARDEN,03 THREE FAMILY HOMES,2,485000,502500,502500,520000,2010
BROOKLYN,FLATBUSH-NORTH,01 ONE FAMILY HOMES,20,152000,289131,285000,540000,2010
BROOKLYN,FLATBUSH-NORTH,02 TWO FAMILY HOMES,43,210000,378577,360000,650000,2010
BROOKLYN,FLATBUSH-NORTH,03 THREE FAMILY HOMES,15,230000,408449,400000,580000,2010
BROOKLYN,FLATLANDS,01 ONE FAMILY HOMES,35,150500,380314,400000,612500,2010
BROOKLYN,FLATLANDS,02 TWO FAMILY HOMES,29,210000,454460,448000,605000,2010
BROOKLYN,FLATLANDS,03 THREE FAMILY HOMES,3,382785,490928,440000,650000,2010
BROOKLYN,FORT GREENE,01 ONE FAMILY HOMES,5,725000,1132000,1175000,1500000,2010
BROOKLYN,FORT GREENE,02 TWO FAMILY HOMES,18,222250,1407940,1255000,2800000,2010
BROOKLYN,FORT GREENE,03 THREE FAMILY HOMES,10,440000,1249682,1137500,2540000,2010
BROOKLYN,GERRITSEN BEACH,01 ONE FAMILY HOMES,40,200000,366419,380000,535000,2010
BROOKLYN,GERRITSEN BEACH,02 TWO FAMILY HOMES,5,200000,382000,425000,460000,2010
BROOKLYN,GOWANUS,01 ONE FAMILY HOMES,3,335000,548333,650000,660000,2010
BROOKLYN,GOWANUS,02 TWO FAMILY HOMES,26,240000,834604,749500,1570000,2010
BROOKLYN,GOWANUS,03 THREE FAMILY HOMES,6,535000,979637,862000,1850000,2010
BROOKLYN,GRAVESEND,01 ONE FAMILY HOMES,44,197650,486695,491000,840000,2010
BROOKLYN,GRAVESEND,02 TWO FAMILY HOMES,83,180000,631908,610000,1125000,2010
BROOKLYN,GRAVESEND,03 THREE FAMILY HOMES,39,280000,791170,800000,1344090,2010
BROOKLYN,GREENPOINT,01 ONE FAMILY HOMES,6,385000,643150,602000,999900,2010
BROOKLYN,GREENPOINT,02 TWO FAMILY HOMES,25,168000,738173,765000,1300000,2010
BROOKLYN,GREENPOINT,03 THREE FAMILY HOMES,17,600000,796235,750000,1250000,2010
BROOKLYN,KENSINGTON,01 ONE FAMILY HOMES,6,380000,549583,570000,635000,2010
BROOKLYN,KENSINGTON,02 TWO FAMILY HOMES,13,158000,570129,577000,775000,2010
BROOKLYN,KENSINGTON,03 THREE FAMILY HOMES,3,376000,611667,499000,960000,2010
BROOKLYN,MADISON,01 ONE FAMILY HOMES,65,180000,549825,525000,900000,2010
BROOKLYN,MADISON,02 TWO FAMILY HOMES,39,180000,624547,575000,1500000,2010
BROOKLYN,MADISON,03 THREE FAMILY HOMES,3,175000,518333,400000,980000,2010
BROOKLYN,MANHATTAN BEACH,01 ONE FAMILY HOMES,24,400000,1289522,1170000,3175000,2010
BROOKLYN,MANHATTAN BEACH,02 TWO FAMILY HOMES,8,250000,993750,1090000,1425000,2010
BROOKLYN,MARINE PARK,01 ONE FAMILY HOMES,115,200000,476969,460000,905000,2010
BROOKLYN,MARINE PARK,02 TWO FAMILY HOMES,44,150000,510917,546750,836000,2010
BROOKLYN,MARINE PARK,03 THREE FAMILY HOMES,3,635000,1003333,775000,1600000,2010
BROOKLYN,MIDWOOD,01 ONE FAMILY HOMES,62,200000,692209,646250,1500000,2010
BROOKLYN,MIDWOOD,02 TWO FAMILY HOMES,36,220000,610156,616250,1150000,2010
BROOKLYN,MIDWOOD,03 THREE FAMILY HOMES,9,261100,724733,750000,975000,2010
BROOKLYN,MILL BASIN,01 ONE FAMILY HOMES,36,376850,910275,850000,1820000,2010
BROOKLYN,MILL BASIN,02 TWO FAMILY HOMES,26,293000,718253,746500,960000,2010
BROOKLYN,NAVY YARD,01 ONE FAMILY HOMES,1,493750,493750,493750,493750,2010
BROOKLYN,NAVY YARD,02 TWO FAMILY HOMES,1,439900,439900,439900,439900,2010
BROOKLYN,OCEAN HILL,01 ONE FAMILY HOMES,5,250000,409630,297500,717860,2010
BROOKLYN,OCEAN HILL,02 TWO FAMILY HOMES,85,155000,344621,300000,1130620,2010
BROOKLYN,OCEAN HILL,03 THREE FAMILY HOMES,53,200000,433886,420000,798238,2010
BROOKLYN,OCEAN PARKWAY-NORTH,01 ONE FAMILY HOMES,60,210000,870323,630000,6130000,2010
BROOKLYN,OCEAN PARKWAY-NORTH,02 TWO FAMILY HOMES,38,233333,724577,735000,1500000,2010
BROOKLYN,OCEAN PARKWAY-NORTH,03 THREE FAMILY HOMES,10,210000,828500,755000,1585000,2010
BROOKLYN,OCEAN PARKWAY-SOUTH,01 ONE FAMILY HOMES,25,400000,1462688,720000,7100000,2010
