period_begin,period_end,period_duration,table_id,is_seasonally_adjusted,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
2021-03-01,2021-03-31,30,30749,f,New York,New York,NY,Multi-Family (2-4 Unit),4,992500.0,0.0595776208665796,0.1027777777777778,775000.0,0.0150622134905042,0.033334711112948,434.51933202948703,0.0819711519440036,0.0695860480725833,593.75,0.0253273852352857,0.06875,540.0,0.3300492610837437,0.5789473684210527,396.0,0.6229508196721311,0.8,861.0,0.5402504472271914,0.6337760910815939,2731.0,0.0213163799551234,-0.0983823043908881,5.1,-1.5,-3.8000000000000007,90.0,12.0,-1.0,0.9580053434126636,-0.0029733718619249,-0.0012777818452029,0.1259259259259259,0.0076993249407042,0.0060428849902534,0.1761259611863786,0.0325208751729156,0.074442237185058,0.2601010101010101,0.0879698625600265,0.1146464646464646,"New York, NY",35614,2023-04-09 14:55:08
2017-01-01,2017-01-31,30,30749,f,New York,New York,NY,Townhouse,13,616250.0,-0.0179282868525896,0.094582593250444,720000.0,0.0300429184549355,0.0300429184549355,277.3763911694946,0.0429352307972996,0.0844791233694524,583.4465579710145,0.149918400090278,-0.0400045950367409,162.0,-0.1195652173913043,0.1654676258992806,82.0,-0.1960784313725489,0.3225806451612902,144.0,0.309090909090909,-0.0828025477707006,428.0,-0.0046511627906976,-0.2902155887230514,2.6,0.3000000000000002,-1.6999999999999995,47.0,-6.0,-22.0,0.9780084694150176,0.009911609222009,0.0093621491237493,0.2222222222222222,0.021135265700483,0.049560351718625,0.1074766355140186,0.0260812866768093,-0.0086095999752018,0.4024390243902439,0.1083213773314203,0.1605035405192761,"New York, NY",35614,2023-04-09 14:55:08
2020-09-01,2020-09-30,30,30749,f,New York,New York,NY,Multi-Family (2-4 Unit),4,880000.0,-0.0356164383561643,-0.0222222222222222,799000.0,0.0514541387024609,-0.0373493975903614,406.73570019723866,0.0156758188563768,0.0585079783925062,635.5748373101952,0.1248775858400417,-0.1763986302710576,287.0,0.1038461538461539,-0.3650442477876105,426.0,0.009478672985782,0.4391891891891892,947.0,0.0074468085106382,0.1822721598002496,3652.0,0.0313470770968653,0.0313470770968653,12.7,-0.9000000000000004,4.9,89.0,-15.0,-2.0,0.967271367244607,0.0068944870325384,0.015708217893949,0.1463414634146341,-0.0228893058161351,0.0357219943880854,0.1881161007667031,0.0198020651835345,0.0135891309841558,0.1525821596244131,0.0127717330841287,-0.0230935160512625,"New York, NY",35614,2023-04-09 14:55:08
2017-06-01,2017-06-30,30,30749,f,New York,New York,NY,Townhouse,13,700000.0,0.015163644379474,0.1945392491467576,802500.0,0.0859269282814614,0.1647314949201741,302.08333333333326,0.1051829268292683,0.1539267690420784,846.3377723970945,0.5387959498128989,0.6309960647653577,106.0,-0.0535714285714286,-0.3496932515337423,148.0,0.2231404958677685,0.0068027210884353,212.0,0.0707070707070707,-0.045045045045045,471.0,0.0466666666666666,-0.2742681047765793,4.4,0.4000000000000003,0.4000000000000003,38.0,-1.0,-26.0,0.9787318690305188,-0.0029759686708421,0.0070097052947813,0.2264150943396226,-0.0235849056603773,0.0607709225604815,0.197452229299363,0.0485633404104741,0.0788081615027528,0.4121621621621621,-0.0258543667634576,0.0516179444750873,"New York, NY",35614,2023-04-09 14:55:08
2018-03-01,2018-03-31,30,30749,f,New York,New York,NY,All Residential,-1,705000.0,0.0127615133386438,0.0601503759398496,779900.0,0.0141742522756826,0.0539189189189188,533.3333333333334,0.0707456978967495,0.0445468509984641,617.5494040017029,-0.0600962909617799,0.0240622400217214,2645.0,0.1460138648180242,0.0049392097264437,1535.0,0.2791666666666665,0.0206117021276595,4713.0,0.1178842504743833,-0.0031725888324872,21191.0,0.0420949102532579,-0.0134084454583546,8.0,-0.8000000000000007,-0.1999999999999992,122.0,9.0,-2.0,0.979697771769462,0.0010973645435946,-1.641296822529892e-05,0.1069943289224952,0.0099406027526512,0.0002314109893645,0.1244396205936482,0.0297260725238178,0.0783015322282681,0.2267100977198697,-0.0341232356134635,-0.0425718171737473,"New York, NY",35614,2023-04-09 14:55:08
2019-03-01,2019-03-31,30,30749,f,New York,New York,NY,Condo/Co-op,3,689500.0,-0.0383542538354253,-0.1114255594990476,799000.0,0.0178343949044585,0.0244903192717014,975.6154499151104,-0.033029243944897,-0.0954882534077406,636.3636363636364,0.006108515989939,0.0304659550151256,1425.0,0.1613691931540342,-0.0416946872898453,611.0,0.3311546840958605,0.0719298245614035,2926.0,0.3021806853582553,0.0926064227035101,14684.0,0.0301669706748983,0.0068568294020845,10.3,-1.2999999999999987,0.5,170.0,13.0,8.0,0.9916090921040148,0.0006039340190564,0.000246737019815,0.0456140350877193,0.0032342469866598,-0.0007881168961408,0.162489784799782,0.0180391042890482,0.0467465044925961,0.1833060556464811,-0.0040577787761767,0.0482183363482355,"New York, NY",35614,2023-04-09 14:55:08
2020-05-01,2020-05-31,30,30749,f,New York,New York,NY,Townhouse,13,746000.0,0.0289655172413794,0.0047138047138046,749000.0,0.007397444519166,-0.0625782227784731,339.60629702211315,0.007975778134599,0.0247491523647465,513.3333333333334,-0.0041333333333333,-0.2067055790810346,49.0,0.0888888888888887,-0.467391304347826,18.0,-0.0999999999999999,-0.797752808988764,81.0,3.05,-0.4968944099378882,438.0,0.0709046454767725,-0.2220248667850799,8.9,-0.1999999999999992,2.8000000000000007,79.0,17.0,32.0,0.964624837391228,-0.008592608972551,-0.0087256167666791,0.1020408163265306,-0.0535147392290249,-0.0175244010647737,0.093607305936073,0.0447075504348505,-0.2172275075630388,0.2777777777777777,0.2277777777777778,0.0418227215980025,"New York, NY",35614,2023-04-09 14:55:08
2021-04-01,2021-04-30,30,30749,f,New York,New York,NY,Townhouse,13,775000.0,0.0402684563758388,0.0689655172413792,803000.0,0.0361290322580645,0.0800268997982516,355.52536231884056,-0.0069700620508774,0.055224702463583,624.9709639953543,0.0525826762027019,0.2124436701509873,137.0,0.113821138211382,2.0444444444444443,133.0,0.33,5.65,238.0,0.1840796019900496,10.9,497.0,0.1531322505800463,0.215158924205379,3.6,0.1,-5.5,72.0,11.0,10.0,0.975970780061799,0.0007766500265192,0.0027533336980197,0.0875912408759124,-0.0668803038395347,-0.0679643146796431,0.3319919517102615,-0.0531588603547036,0.283092196209039,0.4586466165413533,0.0486466165413533,0.4086466165413533,"New York, NY",35614,2023-04-09 14:55:08
2021-01-01,2021-01-31,30,30749,f,New York,New York,NY,Single Family Residential,6,640000.0,0.0,0.0666666666666666,749995.0,0.0148782138024357,-0.0247139141742522,418.46955128205127,0.0173139091511935,0.0930174846919249,590.2192242833053,0.0845278246205736,-0.0288707166002039,848.0,-0.1861804222648751,0.1960507757404794,559.0,0.0429104477611941,0.4370179948586119,897.0,0.475328947368421,-0.0809426229508196,2988.0,-0.104047976011994,-0.1939573779336391,3.5,0.2999999999999998,-1.7000000000000002,56.0,-2.0,-22.0,0.964259471260252,-0.0031116150517324,0.000634910436861,0.1285377358490566,0.0066567377684424,0.0030088218857279,0.1961178045515394,0.0258029619728288,-0.0277829238002274,0.2432915921288014,0.0567244279496969,0.0170705124372847,"New York, NY",35614,2023-04-09 14:55:08
2015-09-01,2015-09-30,30,30749,f,New York,New York,NY,Single Family Residential,6,460000.0,0.0043668122270741,,715000.0,0.2016806722689075,,284.2509603072984,-0.0031331449876506,,660.9642301710729,0.5759540071906037,,624.0,-0.0204081632653061,,447.0,-0.0877551020408163,,839.0,-0.0289351851851852,,3252.0,0.0037037037037037,,5.2,0.1000000000000005,,67.0,5.0,,0.9638980399205344,0.0035140097011998,,0.125,0.0025510204081632,,0.1611316113161131,0.008662475513644,,0.2751677852348993,0.0200657444185727,,"New York, NY",35614,2023-04-09 14:55:08
2023-01-01,2023-01-31,30,30749,f,New York,New York,NY,Condo/Co-op,3,670000.0,-0.0871934604904631,-0.1200894094223977,799000.0,0.0561797752808987,-0.0256097560975609,960.6299212598426,-0.1030331267763128,-0.094618902529012,642.2809917355372,0.1302589542514038,-0.0452579852579853,1292.0,-0.0894996476391825,-0.3821138211382113,669.0,-0.1091877496671105,-0.4660814046288906,2082.0,1.0552813425468903,-0.2245810055865922,9524.0,-0.0090521277702632,0.0270678313382939,7.4,0.6000000000000005,3.0,89.0,4.0,11.0,0.9869145780239011,-0.0010661290507159,-0.003874332490356,0.0410216718266253,-0.0019663479055803,-0.0044111354426237,0.2924191516169676,0.123862289687928,0.061641625465776,0.2227204783258595,0.0802437805895079,-0.0542148768217861,"New York, NY",35614,2023-04-09 14:55:08
2018-12-01,2018-12-31,30,30749,f,New York,New York,NY,All Residential,-1,710000.0,0.0102504852048104,0.0142857142857142,729000.0,0.0,0.0565217391304346,536.9968,0.0556005599404318,-0.0249268631578946,516.0,-0.1026086956521739,0.0863157894736841,2659.0,0.020729366602687,-0.1290533901080903,1174.0,-0.1958904109589041,-0.0570281124497992,2219.0,-0.3703178206583428,0.0536562203228869,21696.0,-0.0613481007181794,0.1358567614261032,8.199999999999998,-0.700000000000001,1.8999999999999997,105.0,1.0,3.0,0.9780025581344955,-0.0011505362056369,-0.0027959088353066,0.0838661150808574,-0.0067288945160715,-0.019966181021337,0.0817201327433628,-0.0857541252820763,-0.0041392463467371,0.1149914821124361,-0.0350085178875638,-0.0287836182891703,"New York, NY",35614,2023-04-09 14:55:08
2018-06-01,2018-06-30,30,30749,f,New York,New York,NY,All Residential,-1,739000.0,0.0263888888888887,0.0023736859952525,750000.0,-0.0613266583229036,-0.0654205607476635,584.0286054827175,-0.0146756655966423,-0.1707989765160052,599.7737373737373,-0.0864984615384617,-0.291330533818679,3073.0,0.0774894810659185,-0.1306930693069307,2062.0,0.0218037661050545,-0.2700884955752211,4927.0,-0.1082352941176471,-0.311294380766005,22893.0,-0.0445724301990735,0.0457722351651363,7.4,-1.0,1.2000000000000002,105.0,-4.0,-7.0,0.9814497489053584,0.0001240738656301,-0.0037319175086175,0.1054344288968434,-0.0001055430526656,0.0092533822207472,0.1978333988555453,0.1126533145518852,0.036854000929457,0.1799224054316197,-0.0252312120113931,-0.284856355630327,"New York, NY",35614,2023-04-09 14:55:08
2016-06-01,2016-06-30,30,30749,f,New York,New York,NY,Condo/Co-op,3,710000.0,0.0364963503649635,0.0839694656488549,689000.0,-0.0295774647887323,0.1025764122259562,1042.8081865596866,0.0119006511275776,0.0333132336722152,518.9085312225153,-0.046330266942404,0.1365297393356892,1569.0,0.21722265321955,-0.0150659133709981,610.0,0.0183639398998329,-0.2189500640204865,2268.0,-0.1014263074484944,0.0281051677243879,16120.0,0.0024252223120453,0.2028953063204237,10.3,-2.1999999999999997,1.9000000000000004,129.0,-11.0,6.0,0.9890769237120562,0.0007981708109736,0.0006674735168689,0.0573613766730401,0.0069346893185017,0.0040029334840884,0.0187965260545905,0.0011359328079019,-0.0131413890263735,0.1311475409836065,-0.0057472837242398,0.0632858252345668,"New York, NY",35614,2023-04-09 14:55:08
2019-02-01,2019-02-28,30,30749,f,New York,New York,NY,All Residential,-1,700000.0,0.0144927536231884,0.0055788075702845,785000.0,0.0466666666666666,0.0208062418725618,539.8773006134969,0.0397636900704383,0.0838836819200226,632.5,-0.0178571428571429,-0.0373416408235496,2178.0,-0.1455472734405649,-0.0563258232235701,1216.0,0.0184254606365159,0.0133333333333334,4093.0,-0.1119548709047515,-0.0291745730550284,21918.0,0.0120982637606206,0.0778460781903123,10.1,1.5999999999999996,1.2999999999999987,129.0,18.0,16.0,0.9780420633448184,-0.0009168239009792,-0.0005583438810486,0.0835629017447199,-0.0058839401540639,-0.0134908244251241,0.1450862304954831,-0.0544889449755179,0.0503726824256528,0.2302631578947368,0.0769968262364453,-0.0305701754385964,"New York, NY",35614,2023-04-09 14:55:08
2019-08-01,2019-08-31,30,30749,f,New York,New York,NY,Single Family Residential,6,610000.0,-0.008130081300813,0.0252100840336133,719000.0,-0.0400534045393858,0.0271428571428571,399.6370235934664,0.0174876430757302,0.0506586265441133,527.7155555555555,-0.0457505182491487,0.0340291411133701,814.0,0.1289875173370318,0.0036991368680641,579.0,-0.0661290322580645,-0.0794912559618441,1026.0,-0.1147540983606557,-0.0293282876064333,4341.0,-0.0255892255892256,0.1459873284054911,5.3,-0.9000000000000004,0.5999999999999996,58.0,-1.0,15.0,0.96609305917842,0.0030994794343373,-0.0002519819640292,0.1228501228501228,0.0146670437932573,-0.062106720553083,0.2294402211472011,-0.010065951692305,0.0039914355083415,0.2003454231433506,0.0100228424981893,-0.0381283447421819,"New York, NY",35614,2023-04-09 14:55:08
2017-02-01,2017-02-28,30,30749,f,New York,New York,NY,Townhouse,13,620000.0,0.0060851926977687,0.0759219088937093,749000.0,0.0402777777777778,0.0886627906976744,289.68531468531467,0.0443762479709333,0.1267110125646711,613.0653266331658,0.050765178502643,0.0477843764275924,135.0,-0.1666666666666666,0.0,77.0,-0.0609756097560976,-0.1444444444444444,118.0,-0.1805555555555555,-0.3480662983425414,414.0,-0.0327102803738317,-0.3438985736925515,3.1,0.5,-1.6,61.0,14.0,-1.0,0.9783902874614652,0.0003818180464475,0.0071773794821641,0.2,-0.0222222222222221,0.0888888888888889,0.0917874396135265,-0.0156891959004921,-0.0064692957272024,0.4025974025974026,0.0001583782071586,0.0914862914862915,"New York, NY",35614,2023-04-09 14:55:08
2016-10-01,2016-10-31,30,30749,f,New York,New York,NY,Multi-Family (2-4 Unit),4,790000.0,-0.0246913580246913,0.1334289813486371,715000.0,-0.0453938584779706,-0.0137931034482758,346.6666666666667,0.0218205441991872,0.2616881258941345,559.875821414766,-0.1700278350511573,-0.1709391646953241,430.0,-0.0444444444444443,0.0070257611241217,301.0,0.0343642611683849,-0.0988023952095807,618.0,-0.0911764705882353,-0.0748502994011975,2948.0,-0.0267414988445031,-0.0296247531270572,6.9,0.2000000000000001,-0.1999999999999992,89.0,8.0,4.0,0.9593674154630965,-0.0043511392117606,-0.0021932524098319,0.1441860465116279,0.0130749354005167,-0.026774140842002,0.0922659430122116,0.0027974715694912,0.0066833228673795,0.2059800664451827,0.0066673516685503,0.0023872520739252,"New York, NY",35614,2023-04-09 14:55:08
2020-07-01,2020-07-31,30,30749,f,New York,New York,NY,Single Family Residential,6,610000.0,-0.0185036202735318,-0.008130081300813,760000.0,-0.0174531351001939,0.014686248331108,380.4347826086956,-0.0474828375286041,-0.0314018285394969,579.1950411219108,0.0214829874042272,0.0473380252007009,460.0,-0.0573770491803278,-0.3619972260748959,722.0,1.292063492063492,0.1645161290322581,1596.0,0.2646592709984152,0.3770491803278688,4199.0,0.0635764944275583,-0.0574635241301908,9.1,1.0,2.8999999999999995,86.0,7.0,27.0,0.9579408012693315,-0.0044881986236354,-0.0050527784747512,0.1108695652173913,0.0063613684960798,0.0026864861605258,0.2686353893784234,0.1242584896823748,0.0291292165389172,0.3545706371191135,0.018062700611177,0.1642480564739523,"New York, NY",35614,2023-04-09 14:55:08
2020-10-01,2020-10-31,30,30749,f,New York,New York,NY,Townhouse,13,732500.0,-0.0233333333333333,0.0464285714285714,778888.0,-0.025171464330413,-0.0250347983697338,346.6664,-0.0253338878313077,0.0583286878160917,607.0833333333333,-0.0448279294653015,-0.0483554958947385,108.0,0.5652173913043478,0.0909090909090908,113.0,0.2021276595744681,0.1649484536082475,158.0,-0.2020202020202019,0.1532846715328466,560.0,-0.054054054054054,0.033210332103321,5.2,-3.3999999999999995,-0.2999999999999998,44.0,-9.0,-18.0,0.9647581211837108,-0.0105899637637647,-0.0023111168322414,0.0925925925925925,-0.0233494363929146,0.0117845117845117,0.2625,-0.006081081081081,-0.0622232472324723,0.3716814159292035,-0.0006590096027113,0.1242587355168324,"New York, NY",35614,2023-04-09 14:55:08
2017-05-01,2017-05-31,30,30749,f,New York,New York,NY,Townhouse,13,689544.0,0.0140352941176471,0.2537163636363637,739000.0,-0.0645569620253164,0.0408450704225351,273.33333333333326,-0.0768372207051947,0.0329934013197361,550.0,-0.0885830947078163,0.0108108108108107,112.0,0.0467289719626167,-0.081967213114754,121.0,0.1523809523809522,-0.2965116279069767,198.0,0.2375,-0.1428571428571429,450.0,0.0588235294117647,-0.3055555555555555,4.0,0.0,-1.2999999999999998,39.0,-22.0,-12.0,0.981707837701361,0.0087227682834342,0.0155003941343785,0.25,0.072429906542056,0.0860655737704918,0.1488888888888888,0.0359477124183006,0.0285185185185185,0.4380165289256198,0.1046831955922865,0.0717374591581779,"New York, NY",35614,2023-04-09 14:55:08
2022-09-01,2022-09-30,30,30749,f,New York,New York,NY,Multi-Family (2-4 Unit),4,1040000.0,0.0431293881644934,0.0410410410410411,899000.0,0.1599999999999999,0.0722242630396305,472.22222222222223,0.0234000660508775,0.0701283056364891,744.7520751419834,0.3426929294110907,0.0201566723559734,434.0,-0.1196754563894523,-0.1354581673306772,333.0,-0.2362385321100917,-0.2414578587699316,735.0,0.0777126099706744,-0.0613026819923371,2994.0,0.0111448834853089,0.0232399179767601,6.9,0.9000000000000004,1.1000000000000003,49.0,4.0,-3.0,0.9664209941308356,-0.0061350543458271,0.0001976196582978,0.2235023041474654,-0.0503313672521288,0.0501955312390988,0.177688710754843,-0.0090725185595777,0.0047563799277753,0.1441441441441441,-0.0164063145714521,-0.0995916189538057,"New York, NY",35614,2023-04-09 14:55:08
2015-06-01,2015-06-30,30,30749,f,New York,New York,NY,Single Family Residential,6,438000.0,-0.0266666666666666,,624900.0,-0.0159055118110236,,277.0714598860149,0.0077829000574554,,456.5727699530517,-0.0280845759925286,,551.0,0.1153846153846154,,552.0,0.0184501845018449,,966.0,0.0,,3251.0,0.0140361821584529,,5.9,-0.5999999999999996,,71.0,-36.0,,0.9583162589838944,0.0042154172780606,,0.1143375680580762,0.011098701661315,,0.1762534604737004,0.0249746083214858,,0.2518115942028985,0.0119591956789133,,"New York, NY",35614,2023-04-09 14:55:08
