,Tourist_Spot,Address,Zipcode,coordinate
310,Floyd Bennett Field,"50 Aviation Road Brooklyn, NY 11234, Brooklyn",11234,"(40.59115449999999, -73.8807732)"
311,69th Regiment Armory,"68 Lexington Ave Manhattan, NY Midtown East",10010,"(40.7413011, -73.9842013)"
312,Federal Hall National Memorial,"26 Wall St Manhattan, NY 10005, Lower Manhattan",10005,"(40.707258, -74.01035639999999)"
313,Scandinavia House: The Nordic Center in America,"58 Park Ave. Manhattan, NY 10016, Murray Hill",10016,"(40.749454, -73.980048)"
314,NYRR RunCenter Featuring the New Balance Run Hub,"320 W. 57th St. Manhattan, NY 10019, Midtown West",10019,"(40.7668002, -73.9841223)"
315,Bowling Green Park,"Broadway and Whitehall St Manhattan, NY 10004, Lower Manhattan",10004,"(40.7040547, -74.01320110000002)"
316,New York City Horse Carriages,"Pickup location: 59th St. btw. Fifth & Sixth Aves. opposite plaza hotel Manhattan, NY --, Central Park",10019,"(40.7448021, -73.9908964)"
317,New York Public Library for the Performing Arts,"40 Lincoln Center Plaza Manhattan, NY 10023, Upper West Side",10023,"(40.77315530000001, -73.9849449)"
318,Empire Stores,"53-83 Water Street NY 11201, DUMBO",11201,"(40.7036641, -73.9916363)"
319,Central Park Bandshell,"Mid-park, 66th to 72nd Sts Manhattan, NY, Central Park",10019,"(40.7830603, -73.9712488)"
320,The Players Theatre,"115 Macdougal St. Manhattan, NY 10012, Greenwich Village",10012,"(40.7301811, -74.0007016)"
321,Lefferts Historic House,"452 Flatbush Ave, Brooklyn, NY 11225",11225,"(40.6643449, -73.9637644)"
322,Ford Amphitheater at Coney Island Boardwalk,"3052 W. 21st St. Brooklyn, NY 11224, Coney Island",11224,"(40.5730829, -73.987686)"
323,MetLife Building,"200 Park Ave. Manhattan, NY 10166, Midtown East",10166,"(40.7533488, -73.9766668)"
324,Valentine-Varian House,"3266 Bainbridge Ave. Bronx, NY 10458, The Bronx",10458,"(40.8773575, -73.879464)"
325,Bronx Council on the Arts,"1738 Hone Ave. Bronx, NY 10461, The Bronx",10461,"(40.848548, -73.85422539999999)"
326,NFL Experience Times Square,"20 Times Square, 701 Seventh Ave. Manhattan, NY 10036, Times Square/Theatre District",10036,"(40.75930169999999, -73.98426119999999)"
327,Randall's Island Park,"East and Harlem Rivers Manhattan, NY 10035, Randalls Island",10035,"(40.794065, -73.9271644)"
328,Ed Sullivan Theater,"1697 Broadway Manhattan, NY 10019, Midtown West",10019,"(40.7637613, -73.9828677)"
329,Essex Street Market,"120 Essex St. Manhattan, NY 10002, Lower East Side",10002,"(40.7191831, -73.9875483)"
330,The Conference House Museum,"298 Satterlee St Staten Island, 10307, Tottenville",10307,"(40.4994176, -74.2516794)"
331,Pier 45,"Enter at Christopher St and the West Side Highway Manhattan, NY 10014, West Village",10014,"(40.7333364, -74.0046241)"
332,Riverbank State Park Ice Rink,"679 Riverside Dr. Manhattan, NY 10031, Harlem",10031,"(40.8269525, -73.952552)"
333,American Stock Exchange Building,"86 Trinity Place New York, NY 10006, Lower Manhattan",10006,"(40.708678, -74.01261459999999)"
334,Pier 40,"353 West St Manhattan, NY 10014, Greenwich Village",10014,"(40.7288194, -74.01220490000001)"
335,Long Island City Partnership,"mail: 27-01 Queens Plaza North, 9th fl. Queens, NY 11101, Long Island City",11101,"(40.7508189, -73.9387435)"
336,"The Great Hall, Cooper Union","7 East 7th Street Manhattan, NY 10003, East Village",10003,"(40.7294081, -73.9904866)"
337,Czech Center New York,"321 E 73rd St Manhattan, NY, Upper East Side",10021,"(40.7689984, -73.9564666)"
338,The Malcolm X and Dr. Betty Shabazz Memorial & Educational Center,"3940 Broadway Manhattan, NY, Harlem",10032,"(40.8389411, -73.9402071)"
339,79th Street Boat Basin,"W 79th St and the Hudson River Manhattan, NY 10024, Upper West Side",10024,"(40.7838215, -73.9799099)"
340,New York City Center,"W. 55th St. betw. Sixth & Seventh Aves.; mail: 130 W. 56th St. Manhattan, NY 10019, Midtown West",10019,"(40.764017, -73.979231)"
341,Electric Lady Studios,"52 W 8th St New York, NY 10011 West Village",10011,"(40.73303550000001, -73.9989778)"
342,Harlem Park to Park,"mail: 134 W. 118th St., ground fl. Manhattan, NY 10026, Harlem",10026,"(40.8037892, -73.9502985)"
343,St. Bartholomew's Church,"325 Park Ave Manhattan, NY, Midtown East",10022,"(40.7572236, -73.9731084)"
344,Kissena Golf Course,"16415 Booth Memorial Ave Queens, NY 11365, Fresh Meadows",11365,"(40.74490830000001, -73.7992634)"
345,Riverside Park South,"Henry Hudson Parkway at W. 70th St. Manhattan, NY 10023, Upper West Side",10023,"(40.7771556, -73.9822179)"
346,Poets House,"10 River Terr. Manhattan, NY 10282, Battery Park City",10282,"(40.7158788, -74.0162945)"
